brand,model,fuel_type,price,size,Depreciation Rate,Carbon Tax,Buying Price,Profit,imported
Ford,Utility Police Interceptor Base,E85 Flex Fuel,10300.0,9,0.7,150,7359.999999999999,2940.000000000001,0.0
Hyundai,Palisade SEL,Gasoline,38005.0,8,0.8,200,30604.0,7401.0,0.0
INFINITI,Q50 Hybrid Sport,Hybrid,15500.0,8,0.65,120,10195.0,5305.0,0.0
Audi,S3 2.0T Premium Plus,Gasoline,31000.0,8,0.8,200,25000.0,6000.0,1.0
BMW,740 iL,Gasoline,7300.0,8,0.8,200,6040.0,1260.0,0.0
Lexus,RC 350 F Sport,Gasoline,41927.0,8,0.8,200,33741.6,8185.4000000000015,0.0
Aston,Martin DBS Superleggera,Gasoline,184606.0,8,0.8,200,147884.80000000002,36721.19999999998,0.0
Toyota,Supra 3.0 Premium,Gasoline,53500.0,10,0.8,200,43000.0,10500.0,1.0
Lincoln,Aviator Reserve AWD,Gasoline,62000.0,10,0.8,200,49800.0,12200.0,1.0
Land,Rover LR4 HSE,Gasoline,29990.0,8,0.8,200,24192.0,5798.0,1.0
Mercedes-Benz,Metris Base,Gasoline,250000.0,8,0.8,200,200200.0,49800.0,0.0
Dodge,Challenger SXT,Gasoline,16800.0,8,0.8,200,13640.0,3160.0,1.0
Nissan,350Z Enthusiast,Gasoline,11000.0,9,0.8,200,9000.0,2000.0,0.0
Jaguar,F-TYPE R,Gasoline,68750.0,8,0.8,200,55200.0,13550.0,1.0
Chevrolet,S-10 LS,E85 Flex Fuel,4500.0,8,0.7,150,3300.0,1200.0,0.0
Ford,F-150 XLT,Gasoline,58504.0,8,0.8,200,47003.200000000004,11500.799999999996,1.0
Chevrolet,Suburban RST,Gasoline,61000.0,9,0.8,200,49000.0,12000.0,1.0
Hyundai,Elantra N Base,Gasoline,32300.0,8,0.8,200,26040.0,6260.0,0.0
Mercedes-Benz,AMG CLA 45 Base 4MATIC,Gasoline,59995.0,8,0.8,200,48196.0,11799.0,1.0
BMW,650 Gran Coupe i xDrive,Gasoline,25700.0,10,0.8,200,20760.0,4940.0,0.0
Audi,Q5 2.0T Premium Plus,E85 Flex Fuel,21375.0,9,0.7,150,15112.499999999998,6262.500000000002,1.0
Mercedes-Benz,AMG C 43 Base 4MATIC,Gasoline,48000.0,8,0.8,200,38600.0,9400.0,1.0
Dodge,Ram 1500 Laramie Mega Cab,Gasoline,10900.0,8,0.8,200,8920.0,1980.0,1.0
Kia,Sorento SX,Gasoline,5999.0,10,0.8,200,4999.2,999.8000000000002,1.0
Lexus,LX 570 Base,Gasoline,46900.0,8,0.8,200,37720.0,9180.0,0.0
Jeep,New Compass Trailhawk,Gasoline,15900.0,10,0.8,200,12920.0,2980.0,0.0
Audi,A4 2.0T Premium Plus quattro,Gasoline,8999.0,10,0.8,200,7399.200000000001,1599.7999999999993,0.0
Hyundai,Tucson SE,Gasoline,8200.0,8,0.8,200,6760.0,1440.0,0.0
BMW,Z4 sDrive28i,Gasoline,20000.0,9,0.8,200,16200.0,3800.0,0.0
Bentley,Continental GTC Base,E85 Flex Fuel,79950.0,9,0.7,150,56115.0,23835.0,1.0
Dodge,Sprinter 2500,Diesel,14000.0,9,0.95,500,13800.0,200.0,0.0
Audi,A7 Premium,Gasoline,36880.0,8,0.8,200,29704.0,7176.0,1.0
Chevrolet,Silverado 1500 Custom Trail Boss,Gasoline,43147.0,10,0.8,200,34717.6,8429.400000000001,1.0
MINI,Convertible John Cooper Works,Gasoline,29000.0,10,0.8,200,23400.0,5600.0,0.0
Toyota,Avalon Touring,Gasoline,17500.0,8,0.8,200,14200.0,3300.0,1.0
Porsche,Cayenne Platinum Edition,Gasoline,30990.0,9,0.8,200,24992.0,5998.0,1.0
Mercedes-Benz,AMG C 63 S,Gasoline,52500.0,8,0.8,200,42200.0,10300.0,1.0
Hummer,H2 Base,Gasoline,19500.0,10,0.8,200,15800.0,3700.0,1.0
Porsche,911 Carrera S,Gasoline,73000.0,8,0.8,200,58600.0,14400.0,1.0
Mercedes-Benz,CLA-Class CLA 250,Gasoline,19800.0,8,0.8,200,16040.0,3760.0,0.0
Chrysler,300 Touring,Gasoline,7500.0,10,0.8,200,6200.0,1300.0,1.0
Audi,A3 2.0T,Gasoline,6500.0,9,0.8,200,5400.0,1100.0,0.0
Ford,Mustang GT Premium,Gasoline,28500.0,8,0.8,200,23000.0,5500.0,0.0
Acura,RL Technology,Gasoline,10995.0,8,0.8,200,8996.0,1999.0,0.0
Volvo,XC90 Hybrid T8 R-Design,Plug-In Hybrid,42000.0,8,0.95,50,39950.0,2050.0,0.0
Mercedes-Benz,GLK-Class GLK 350,Gasoline,10000.0,8,0.8,200,8200.0,1800.0,1.0
Lexus,IS 350 Base,Gasoline,21000.0,8,0.8,200,17000.0,4000.0,1.0
BMW,X4 M40i,Hybrid,67900.0,10,0.65,120,44255.0,23645.0,0.0
Cadillac,CT5 Premium Luxury,Gasoline,46900.0,9,0.8,200,37720.0,9180.0,0.0
Audi,A5 2.0T Premium Plus,Gasoline,31000.0,9,0.8,200,25000.0,6000.0,0.0
Chrysler,300C SRT8,Gasoline,19995.0,8,0.8,200,16196.0,3799.0,1.0
Bentley,Continental GT W12,Gasoline,130000.0,10,0.8,200,104200.0,25800.0,0.0
BMW,M4 Base,Gasoline,55999.0,9,0.8,200,44999.200000000004,10999.799999999996,0.0
Toyota,GR Corolla Circuit Edition,Gasoline,49950.0,9,0.8,200,40160.0,9790.0,1.0
Audi,RS 5 2.9T,Gasoline,59950.0,9,0.8,200,48160.0,11790.0,1.0
Porsche,Cayenne Base,Gasoline,42499.0,10,0.8,200,34199.200000000004,8299.799999999996,0.0
Maserati,Quattroporte S,Gasoline,44999.0,9,0.8,200,36199.200000000004,8799.799999999996,1.0
Jaguar,XF 35t R-Sport,Gasoline,30000.0,10,0.8,200,24200.0,5800.0,0.0
Lexus,ES 330 Base,Gasoline,11100.0,8,0.8,200,9080.0,2020.0,1.0
Porsche,Cayman GTS,Gasoline,72000.0,9,0.8,200,57800.0,14200.0,0.0
Genesis,G90 3.3T Premium,Gasoline,53950.0,10,0.8,200,43360.0,10590.0,1.0
